datetime,uncorrectedNeutrons,incoming,TAVG,PREC,RHAVG,soil_moisture_gravimetric[g/g],soil_moisture_volumetric[m3/m3],pressureCorrectedNeutrons,PRESS(hPa),incoming_correction,press_correction,RH_correction,corrected_neutrons,movingAvg_neutrons,soil_moisture
2023-03-23 00:00:00,794.0,150.831,8.2,0.0,90.9,0.095901063481164,0.12946643569957,788.73178661535,1014.04,0.9946842564435364,1.0140822334929527,1,800.9011561212634,781.4848400352944,0.20284694388651228
2023-03-23 01:00:00,778.0,150.965,7.1,0.0,94.7,0.094327072248197,0.12734154753507,790.41992165305,1013.88,0.993801351860597,1.012849858932613,1,783.1126729323776,781.8171852489021,0.20250899307848289
2023-03-23 02:00:00,764.0,151.323,6.6,0.0,95.0,0.093911860678532,0.12678101191602,789.75420692304,1013.62,0.9914502163163236,1.0108504436841999,1,765.6868287653718,782.9311330184963,0.20138089402043974
2023-03-23 03:00:00,778.0,151.387,5.8,0.0,95.8,0.094334855037737,0.12735205430095,789.44972842274,1013.11,0.9910310732337323,1.006939970756721,1,776.3730463229596,780.7952704399831,0.20355018501739783
2023-03-23 04:00:00,768.0,151.423,5.6,0.0,94.8,0.09500010457298,0.12825014117352,788.11807129085,1012.99,0.9907954609513419,1.0060220601342569,1,765.5132857328176,780.2883292283572,0.20406894116275734
2023-03-23 05:00:00,753.0,152.011,4.9,0.0,96.3,0.096447738553136,0.13020444704673,785.80596433179,1013.03,0.986962924285973,1.0063279373315157,1,747.8858979559963,781.2210296702837,0.2031156587823713
2023-03-23 06:00:00,737.0,151.903,5.4,0.0,95.8,0.097402464532399,0.13149332711874,784.62497197256,1013.63,0.9876646352187584,1.0109272712373298,1,735.862893444953,782.6270866741037,0.20168809637362822
2023-03-23 07:00:00,862.0,152.3,10.0,0.0,85.5,0.095503265923798,0.12892940899713,788.93461933835,1014.34,0.9850900924729811,1.0163969787922107,1,863.0711158794579,783.3963069000998,0.20091191366972305
2023-03-23 08:00:00,787.0,152.045,13.5,0.0,68.0,0.095881264067232,0.12943970649076,787.88311080362,1014.49,0.9867422216030455,1.0175563320538348,1,790.1997812135761,783.3412405353391,0.20096736626263503
2023-03-23 09:00:00,762.0,153.024,15.5,0.0,55.3,0.09663831766664,0.13046172884996,787.88757738791,1014.75,0.9804293514980332,1.019569011238119,1,761.7069229857082,780.3342963309525,0.20402184090247122
2023-03-23 10:00:00,797.0,152.769,17.3,0.0,53.3,0.09617718248057,0.12983919634877,790.61628471795,1014.83,0.9820658712411224,1.0201890976841297,1,798.508637353144,783.6292221675718,0.20067755558944203
2023-03-23 11:00:00,820.0,153.508,18.9,0.0,50.8,0.094984831260619,0.12822952220184,793.17461934063,1014.74,0.9773381262451144,1.0194915269377056,1,817.0381097012556,783.0026516444267,0.20130870983495863
2023-03-23 12:00:00,778.0,154.15,19.5,0.0,44.6,0.094300718901586,0.12730597051714,793.68172768702,1014.46,0.9732677332704186,1.0173243556564409,1,770.3203383725549,784.9136066927769,0.1993907344681903
2023-03-23 13:00:00,786.0,153.475,19.6,0.0,47.0,0.095376117481821,0.12875775860046,794.94524072176,1014.08,0.977548272250432,1.0143905613553956,1,779.4099721431286,781.7047006181251,0.20262330352875504
2023-03-23 14:00:00,739.0,153.217,20.1,0.0,46.5,0.096816638065219,0.13070246138805,792.68786316853,1013.66,0.9791943523475529,1.0111577889331906,1,731.6986772329026,780.4877199278858,0.2038647245317368
2023-03-23 15:00:00,777.0,151.111,20.8,0.0,43.9,0.097346841507393,0.13141823603498,791.76727720839,1013.28,0.99284116367197,1.0082417779853199,1,777.795601471407,778.5127647029141,0.20589777564481093
2023-03-23 16:00:00,815.0,148.492,20.2,0.0,48.4,0.097807438727619,0.13204004228229,791.54511406132,1012.9,1.0103522148239301,1.0053341763282058,1,827.8294135284862,778.7594645069975,0.20564256160252475
2023-03-23 17:00:00,776.0,147.893,18.1,0.0,60.0,0.097257849155864,0.13129809636042,791.82994637709,1012.77,1.0144443691292693,1.0043413966758998,1,790.626416244043,779.9036025058205,0.2044636367334684
